epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96555,0.90587,1.88693,1.15506,1,0.79733,0.97246,0.75456,0.82951,2.58726,1.18144,0.000653061,0.000653061,0.000653061
2,14.3604,0.83701,0.99942,1.05713,0.98804,0.97746,0.99395,0.8111,0.75972,1.88426,1.13175,0.0013034,0.0013034,0.0013034
3,19.6121,0.83441,0.84782,1.05193,0.78168,0.48728,0.60186,0.35067,1.28372,2.60239,1.53631,0.00193723,0.00193723,0.00193723
4,24.477,0.83113,0.71737,1.05207,0.78245,0.74556,0.83764,0.63988,0.86622,1.47219,1.14786,0.00192575,0.00192575,0.00192575
5,29.2954,0.77898,0.61637,1.01485,0.97019,0.96294,0.99023,0.79293,0.72824,0.9312,1.06755,0.001901,0.001901,0.001901
6,34.0411,0.78093,0.56931,1.02708,0.80901,0.80769,0.88719,0.68872,0.79319,1.00577,1.09289,0.00187625,0.00187625,0.00187625
7,38.9167,0.75097,0.52092,1.01983,0.9941,0.99632,0.995,0.80468,0.72139,0.52843,1.06512,0.0018515,0.0018515,0.0018515
8,43.8185,0.77924,0.5025,1.02766,0.99117,0.99112,0.99494,0.82846,0.68541,0.50533,1.0135,0.00182675,0.00182675,0.00182675
9,48.7312,0.77452,0.48585,1.0157,0.99304,0.99704,0.99497,0.83281,0.65725,0.46912,0.99027,0.001802,0.001802,0.001802
10,53.7261,0.77678,0.47495,1.01537,1,0.99332,0.995,0.80663,0.69611,0.43693,1.01399,0.00177725,0.00177725,0.00177725
11,58.6087,0.73158,0.44946,1.00408,0.99113,0.99704,0.99298,0.82153,0.65845,0.41006,0.98438,0.0017525,0.0017525,0.0017525
12,63.4037,0.74971,0.4418,1.00055,0.99886,0.99704,0.995,0.84179,0.63851,0.36717,0.99008,0.00172775,0.00172775,0.00172775
13,68.2164,0.73163,0.42222,0.99624,0.99346,0.99704,0.99497,0.83348,0.65751,0.35025,0.99018,0.001703,0.001703,0.001703
14,73.0368,0.73118,0.41743,0.99797,0.99702,0.9898,0.99497,0.81498,0.69843,0.38122,1.01291,0.00167825,0.00167825,0.00167825
15,77.8292,0.70254,0.40145,0.99164,0.99665,0.99704,0.99497,0.83087,0.65444,0.36692,0.98462,0.0016535,0.0016535,0.0016535
16,82.6541,0.72886,0.39958,0.99962,0.99677,0.99704,0.995,0.83315,0.6492,0.34368,0.99423,0.00162875,0.00162875,0.00162875
17,87.4448,0.70447,0.39831,0.98672,0.99975,0.99704,0.995,0.83907,0.63009,0.33461,0.97721,0.001604,0.001604,0.001604
18,92.1742,0.71455,0.39997,1.0002,0.99978,0.99704,0.995,0.83812,0.64425,0.33519,0.9837,0.00157925,0.00157925,0.00157925
19,96.8381,0.70187,0.38586,0.99726,0.99701,0.99704,0.995,0.8364,0.63325,0.32002,0.98457,0.0015545,0.0015545,0.0015545
20,101.677,0.72143,0.39483,0.98988,0.99675,0.99704,0.99497,0.83252,0.65385,0.31861,0.98541,0.00152975,0.00152975,0.00152975
21,106.644,0.69365,0.3836,0.98755,0.99724,0.99704,0.995,0.84005,0.64031,0.31546,0.97769,0.001505,0.001505,0.001505
22,111.381,0.68934,0.37473,0.98031,0.99704,0.99675,0.99497,0.82494,0.65863,0.33578,0.98624,0.00148025,0.00148025,0.00148025
23,116.008,0.68865,0.37958,0.9764,0.98663,0.99408,0.99494,0.83828,0.6588,0.35494,0.99938,0.0014555,0.0014555,0.0014555
24,120.688,0.70017,0.38125,0.9908,0.99337,0.99704,0.995,0.83845,0.63637,0.34367,0.97534,0.00143075,0.00143075,0.00143075
25,125.633,0.67831,0.3759,0.97428,0.99973,0.99704,0.995,0.83091,0.64923,0.35569,0.978,0.001406,0.001406,0.001406
26,130.475,0.68345,0.36777,0.97498,1,0.99695,0.995,0.83786,0.65082,0.3095,0.99081,0.00138125,0.00138125,0.00138125
27,135.355,0.67889,0.35675,0.98216,0.99981,0.99704,0.995,0.82649,0.67548,0.31487,0.97779,0.0013565,0.0013565,0.0013565
28,140.133,0.6752,0.36559,0.98098,0.99978,0.99704,0.995,0.8465,0.61379,0.29467,0.95978,0.00133175,0.00133175,0.00133175
29,145.093,0.68027,0.35484,0.97473,0.99977,0.99704,0.995,0.84789,0.61337,0.29568,0.9547,0.001307,0.001307,0.001307
30,150.082,0.67811,0.35945,0.97261,0.99969,0.99704,0.995,0.84184,0.62579,0.28935,0.96608,0.00128225,0.00128225,0.00128225
31,154.77,0.69026,0.36213,0.98442,0.99976,0.99704,0.995,0.82678,0.66445,0.32121,0.98584,0.0012575,0.0012575,0.0012575
32,159.535,0.68532,0.35701,0.98419,0.99388,0.99704,0.99494,0.83557,0.63154,0.29379,0.98065,0.00123275,0.00123275,0.00123275
33,164.346,0.67665,0.35227,0.97982,1,0.99593,0.995,0.84401,0.63618,0.29874,0.97107,0.001208,0.001208,0.001208
34,169.27,0.65908,0.35018,0.97903,0.99688,0.99704,0.995,0.82941,0.6369,0.2996,0.98849,0.00118325,0.00118325,0.00118325
35,174.16,0.67285,0.35484,0.97243,0.99988,0.99704,0.995,0.84785,0.6264,0.29034,0.96852,0.0011585,0.0011585,0.0011585
36,178.974,0.67372,0.35422,0.97156,0.99947,0.99704,0.995,0.84319,0.62713,0.30353,0.96314,0.00113375,0.00113375,0.00113375
37,183.93,0.66418,0.35574,0.96525,0.99968,0.99704,0.995,0.84828,0.61686,0.2842,0.95995,0.001109,0.001109,0.001109
38,188.901,0.64371,0.33839,0.96139,0.9998,0.99704,0.995,0.84567,0.62035,0.29703,0.95891,0.00108425,0.00108425,0.00108425
39,193.638,0.64322,0.33611,0.95885,0.99981,0.99704,0.995,0.85113,0.60209,0.29859,0.955,0.0010595,0.0010595,0.0010595
40,198.413,0.64301,0.33492,0.96806,0.99927,0.99704,0.995,0.83443,0.63574,0.28758,0.9718,0.00103475,0.00103475,0.00103475
41,203.217,0.65073,0.33635,0.95975,0.99981,0.99704,0.995,0.85153,0.60178,0.27929,0.94987,0.00101,0.00101,0.00101
42,209.025,0.65026,0.33274,0.96453,0.99981,0.99704,0.995,0.85604,0.60304,0.26377,0.95277,0.00098525,0.00098525,0.00098525
43,213.955,0.63917,0.32551,0.96553,0.99982,0.99704,0.995,0.84411,0.62314,0.28041,0.95774,0.0009605,0.0009605,0.0009605
44,218.748,0.64772,0.32295,0.96634,0.99982,0.99704,0.995,0.83663,0.65139,0.27336,0.97723,0.00093575,0.00093575,0.00093575
45,223.635,0.62104,0.32159,0.95651,0.99976,0.99704,0.995,0.84387,0.60293,0.2792,0.94882,0.000911,0.000911,0.000911
46,228.468,0.64254,0.31861,0.96712,0.99977,0.99704,0.995,0.8478,0.60364,0.27177,0.95818,0.00088625,0.00088625,0.00088625
47,233.238,0.64349,0.31861,0.95708,0.9997,0.99704,0.995,0.84466,0.59823,0.26257,0.94525,0.0008615,0.0008615,0.0008615
48,238.081,0.64182,0.32186,0.96338,0.99981,0.99704,0.995,0.84123,0.63274,0.29016,0.96306,0.00083675,0.00083675,0.00083675
49,243.007,0.63543,0.32198,0.96355,0.99963,0.99704,0.995,0.85021,0.60033,0.26919,0.95101,0.000812,0.000812,0.000812
50,248.098,0.6268,0.31302,0.96182,0.99963,0.99704,0.995,0.84625,0.61012,0.26227,0.95303,0.00078725,0.00078725,0.00078725
51,254.241,0.63504,0.31568,0.95916,0.99982,0.99704,0.995,0.84918,0.59542,0.25724,0.9503,0.0007625,0.0007625,0.0007625
52,259.224,0.6298,0.30659,0.96404,0.99982,0.99704,0.995,0.85403,0.59591,0.26109,0.95087,0.00073775,0.00073775,0.00073775
53,263.926,0.64072,0.31257,0.96153,0.99981,0.99704,0.995,0.8524,0.61193,0.25908,0.95439,0.000713,0.000713,0.000713
